ID,cover_type
6,5
47,4
49,5
55,2
59,5
63,5
66,5
72,2
73,2
77,2
78,1
79,2
82,1
85,1
87,2
92,2
98,2
105,2
115,2
128,3
133,2
135,2
139,3
141,2
148,2
154,2
156,2
165,1
173,2
182,1
187,2
189,2
193,1
204,2
209,2
216,1
219,2
220,2
224,1
227,2
236,1
243,2
246,1
248,2
250,2
255,2
258,2
272,2
279,2
285,2
288,2
290,2
296,2
306,3
312,2
313,2
314,1
316,3
321,2
325,2
327,2
328,1
336,1
337,2
339,1
344,1
347,2
352,2
355,2
358,2
362,2
369,2
372,2
375,2
379,2
400,2
401,2
404,5
408,2
414,1
417,2
423,1
424,5
432,2
436,4
439,2
445,2
452,2
458,2
468,1
476,2
479,2
485,1
496,2
504,3
518,2
524,2
534,2
535,2
536,2
538,3
546,2
547,2
548,2
559,2
562,2
568,2
576,2
578,3
583,2
600,3
604,1
606,5
608,1
612,5
619,2
620,3
630,2
632,3
639,4
644,3
646,2
662,2
669,2
671,3
683,2
689,2
705,2
711,4
713,2
714,2
725,2
732,2
733,1
734,2
738,3
745,2
746,2
748,1
750,2
751,2
755,2
763,2
765,3
768,2
775,1
778,2
781,2
789,2
791,2
793,1
796,2
797,2
798,2
812,2
829,2
830,2
840,2
846,1
853,2
858,2
865,5
869,5
874,5
881,2
882,2
883,2
884,2
889,2
892,5
893,5
895,2
896,2
899,4
911,1
913,1
916,4
917,1
918,4
929,4
936,4
954,1
955,2
958,2
960,2
962,1
966,2
967,1
974,3
990,2
993,2
1005,1
1009,2
1010,2
1016,2
1018,2
1046,2
1049,2
1053,2
1055,2
1057,2
1064,1
1069,1
1080,2
1081,1
1082,1
1084,1
1092,3
1096,2
1102,3
1106,2
1107,3
1123,2
1131,1
1137,1
1140,1
1146,2
1168,2
1172,5
1175,5
1187,2
1188,1
1191,5
1198,5
1202,5
1203,5
1209,5
1222,3
1230,2
1234,5
1236,1
1239,3
1246,5
1258,5
1264,1
1271,1
1273,2
1275,2
1277,1
1278,5
1279,5
1285,5
1286,2
1293,5
1300,5
1304,5
1308,5
1314,1
1316,1
1320,5
1330,1
1336,1
1340,1
1343,2
1350,2
1355,1
1364,5
1369,5
1372,1
1383,1
1398,5
1405,5
1408,2
1409,1
1411,5
1417,1
1418,1
1424,5
1426,5
1427,5
1430,3
1439,5
1448,1
1449,5
1456,5
1484,2
1486,5
1490,2
1493,1
1495,5
1510,1
1512,5
1518,2
1519,5
1533,2
1542,2
1548,5
1549,5
1553,2
1565,1
1576,2
1577,2
1578,2
1580,5
1581,5
1584,1
1585,1
1588,5
1597,5
1599,5
1600,5
1609,2
1614,5
1617,5
1622,4
1631,2
1632,5
1640,1
1641,3
1642,5
1644,2
1646,5
1649,3
1651,5
1653,2
1654,6
1658,5
1659,5
1661,2
1663,7
1664,7
1667,5
1670,4
1673,7
1683,6
1691,7
1692,7
1695,6
1702,7
1705,5
1713,7
1718,2
1730,5
1731,5
1737,6
1741,4
1743,5
1745,5
1748,6
1754,5
1757,5
1765,5
1770,6
1774,5
1775,5
1781,6
1784,5
1797,2
1803,2
1806,4
1808,5
1815,3
1828,2
1834,5
1839,2
1842,5
1851,1
1866,2
1867,2
1868,6
1869,3
1884,3
1892,3
1898,4
1902,6
1905,5
1906,5
1917,4
1919,6
1920,4
1921,3
1930,3
1933,7
1942,5
1950,3
1953,4
1957,3
1959,3
1974,4
1980,3
1989,3
1990,8
