"ID","cover_type"
6,"2"
47,"4"
49,"6"
55,"6"
59,"1"
63,"7"
66,"4"
72,"6"
73,"1"
77,"5"
78,"3"
79,"4"
82,"2"
85,"6"
87,"3"
92,"2"
98,"3"
105,"6"
115,"2"
128,"5"
133,"4"
135,"4"
139,"3"
141,"6"
148,"5"
154,"4"
156,"5"
165,"5"
173,"3"
182,"4"
187,"4"
189,"7"
193,"6"
204,"3"
209,"7"
216,"3"
219,"1"
220,"4"
224,"5"
227,"6"
236,"1"
243,"3"
246,"6"
248,"2"
250,"3"
255,"1"
258,"1"
272,"3"
279,"4"
285,"1"
288,"7"
290,"7"
296,"5"
306,"3"
312,"2"
313,"5"
314,"2"
316,"4"
321,"6"
325,"2"
327,"4"
328,"7"
336,"6"
337,"5"
339,"7"
344,"5"
347,"2"
352,"2"
355,"6"
358,"4"
362,"1"
369,"7"
372,"7"
375,"4"
379,"7"
400,"4"
401,"5"
404,"4"
408,"2"
414,"2"
417,"7"
423,"3"
424,"3"
432,"3"
436,"4"
439,"1"
445,"1"
452,"3"
458,"4"
468,"6"
476,"6"
479,"4"
485,"6"
496,"5"
504,"5"
518,"4"
524,"4"
534,"7"
535,"3"
536,"5"
538,"3"
546,"7"
547,"2"
548,"1"
559,"3"
562,"1"
568,"6"
576,"5"
578,"3"
583,"1"
600,"3"
604,"2"
606,"6"
608,"3"
612,"7"
619,"3"
620,"3"
630,"1"
632,"5"
639,"4"
644,"6"
646,"3"
662,"7"
669,"7"
671,"4"
683,"1"
689,"1"
705,"4"
711,"2"
713,"6"
714,"6"
725,"6"
732,"5"
733,"7"
734,"6"
738,"5"
745,"5"
746,"5"
748,"5"
750,"5"
751,"4"
755,"1"
763,"1"
765,"3"
768,"5"
775,"1"
778,"4"
781,"6"
789,"3"
791,"4"
793,"4"
796,"2"
797,"3"
798,"3"
812,"5"
829,"1"
830,"4"
840,"4"
846,"4"
853,"4"
858,"7"
865,"1"
869,"7"
874,"6"
881,"2"
882,"2"
883,"6"
884,"1"
889,"4"
892,"1"
893,"6"
895,"7"
896,"3"
899,"6"
911,"3"
913,"5"
916,"5"
917,"4"
918,"4"
929,"4"
936,"1"
954,"4"
955,"3"
958,"2"
960,"7"
962,"2"
966,"4"
967,"4"
974,"6"
990,"1"
993,"4"
1005,"1"
1009,"1"
1010,"2"
1016,"5"
1018,"3"
1046,"5"
1049,"1"
1053,"4"
1055,"6"
1057,"3"
1064,"2"
1069,"7"
1080,"6"
1081,"3"
1082,"6"
1084,"3"
1092,"7"
1096,"6"
1102,"3"
1106,"2"
1107,"4"
1123,"5"
1131,"5"
1137,"1"
1140,"2"
1146,"7"
1168,"1"
1172,"6"
1175,"1"
1187,"1"
1188,"4"
1191,"1"
1198,"4"
1202,"2"
1203,"3"
1209,"2"
1222,"2"
1230,"1"
1234,"2"
1236,"4"
1239,"7"
1246,"4"
1258,"1"
1264,"7"
1271,"3"
1273,"3"
1275,"1"
1277,"4"
1278,"1"
1279,"7"
1285,"3"
1286,"3"
1293,"3"
1300,"5"
1304,"3"
1308,"1"
1314,"5"
1316,"3"
1320,"5"
1330,"2"
1336,"3"
1340,"5"
1343,"2"
1350,"4"
1355,"4"
1364,"4"
1369,"1"
1372,"4"
1383,"3"
1398,"1"
1405,"2"
1408,"7"
1409,"2"
1411,"2"
1417,"6"
1418,"1"
1424,"6"
1426,"6"
1427,"5"
1430,"3"
1439,"5"
1448,"4"
1449,"7"
1456,"6"
1484,"5"
1486,"4"
1490,"4"
1493,"1"
1495,"2"
1510,"3"
1512,"3"
1518,"1"
1519,"4"
1533,"1"
1542,"5"
1548,"4"
1549,"2"
1553,"3"
1565,"3"
1576,"1"
1577,"6"
1578,"5"
1580,"4"
1581,"1"
1584,"4"
1585,"2"
1588,"7"
